Дальневосточный федеральный округ,100.0,5.4,28.7,4.8,3.0,0.5,6.8,9.2,10.6,1.0,1.4,0.1,6.3,1.9,2.2,8.3,3.7,4.7,1.0,0.4,0.0
Республика Бурятия,100.0,4.7,5.1,9.4,3.6,0.5,7.1,10.5,9.9,2.0,2.1,0.2,9.1,1.5,8.8,10.9,6.3,6.3,1.2,0.8,0.0
Республика Саха (Якутия),100.0,1.4,50.6,1.1,3.3,0.3,9.6,5.8,6.2,1.0,1.1,0.1,3.6,0.9,1.0,4.7,4.0,4.0,1.1,0.2,0.0
Забайкальский край,100.0,4.6,18.1,3.0,4.0,0.5,4.6,8.2,18.0,1.3,2.4,0.2,6.7,1.8,1.6,10.5,6.3,6.8,1.0,0.4,0.0
Камчатский край,100.0,27.3,4.8,6.2,3.6,0.5,3.6,6.6,4.9,1.1,1.2,0.1,5.2,1.8,3.8,16.4,4.4,6.4,1.8,0.3,0.0
Приморский край,100.0,7.3,1.0,9.2,2.2,0.7,4.4,15.9,18.3,1.4,2.0,0.1,11.3,2.5,1.9,12.3,3.2,4.7,1.1,0.5,0.0
Хабаровский край,100.0,5.8,6.0,9.4,2.7,0.7,5.6,15.0,17.3,1.2,2.4,0.2,8.7,1.7,2.3,9.9,4.2,5.2,0.9,0.8,0.0
Амурская область,100.0,4.1,11.2,3.3,4.6,0.4,15.7,9.9,11.4,0.7,1.4,0.2,9.3,6.4,3.7,7.3,4.1,5.2,0.7,0.4,0.0
Магаданская область,100.0,5.5,45.2,1.0,5.6,0.3,3.5,7.1,5.1,0.8,1.0,0.1,2.3,1.8,1.4,9.1,3.2,5.5,1.3,0.2,0.0
Сахалинская область,100.0,3.3,64.2,2.4,1.2,0.3,5.5,3.7,3.4,0.5,0.3,0.0,2.7,1.2,1.7,3.8,1.9,3.1,0.6,0.2,0.0
Еврейская автономная область,100.0,3.3,11.4,3.4,3.4,0.5,8.9,7.6,17.5,0.8,1.6,0.1,6.9,1.2,0.8,16.2,5.0,9.2,1.4,0.8,0.0
Чукотский автономный округ,100.0,3.4,39.6,0.3,11.4,0.8,7.9,5.9,3.9,0.5,0.6,0.1,1.1,0.2,1.3,12.8,4.2,4.9,0.8,0.3,0.0
