Уральский федеральный округ,285125.0,6042.0,1882.0,23373.0,1974.0,1931.0,33963.0,78580.0,19172.0,6295.0,7303.0,3823.0,24177.0,22761.0,10950.0,6576.0,10948.0,6867.0,5760.0,12723.0
Курганская область,12491.0,659.0,33.0,904.0,189.0,109.0,1092.0,2310.0,589.0,193.0,258.0,174.0,1453.0,698.0,325.0,853.0,906.0,616.0,392.0,736.0
Свердловская область,119138.0,2152.0,514.0,10281.0,693.0,771.0,12923.0,35516.0,7625.0,2546.0,3238.0,1646.0,11440.0,9972.0,4738.0,2075.0,3962.0,2242.0,2171.0,4620.0
Тюменская область,77773.0,2010.0,938.0,4518.0,551.0,520.0,11680.0,17273.0,6324.0,2201.0,2023.0,933.0,5804.0,6640.0,3110.0,2021.0,2908.0,2202.0,1665.0,4446.0
Ханты-Мансийский авто- номный округ – Югра,30919.0,932.0,502.0,1452.0,267.0,256.0,4324.0,6537.0,3101.0,867.0,800.0,375.0,2131.0,2379.0,1301.0,761.0,1249.0,1038.0,718.0,1927.0
Ямало-Ненецкий автономный округ,8728.0,176.0,162.0,309.0,107.0,74.0,1294.0,1398.0,990.0,271.0,200.0,100.0,607.0,516.0,309.0,519.0,485.0,266.0,233.0,711.0
Тюменская область без автономных округов,38126.0,902.0,274.0,2757.0,177.0,190.0,6062.0,9338.0,2233.0,1063.0,1023.0,458.0,3066.0,3745.0,1500.0,741.0,1174.0,898.0,714.0,1808.0
Челябинская область,75723.0,1221.0,397.0,7670.0,541.0,531.0,8268.0,23481.0,4634.0,1355.0,1784.0,1070.0,5480.0,5451.0,2777.0,1627.0,3172.0,1807.0,1532.0,2921.0
Сибирский федеральный округ,373969.0,11999.0,2055.0,28508.0,2780.0,2362.0,39804.0,100071.0,24966.0,7586.0,9411.0,5619.0,33087.0,28568.0,13789.0,11268.0,15840.0,9359.0,7952.0,18893.0
Республика Алтай,4907.0,381.0,47.0,315.0,58.0,34.0,436.0,849.0,164.0,178.0,94.0,103.0,342.0,290.0,261.0,326.0,296.0,141.0,136.0,456.0
Республика Тыва,3524.0,278.0,19.0,103.0,29.0,26.0,263.0,371.0,121.0,58.0,87.0,69.0,171.0,166.0,108.0,484.0,418.0,180.0,218.0,355.0
Республика Хакасия,7950.0,257.0,143.0,609.0,95.0,75.0,814.0,1582.0,308.0,164.0,245.0,204.0,552.0,524.0,244.0,416.0,557.0,232.0,274.0,655.0
Алтайский край,45678.0,1759.0,113.0,4308.0,376.0,347.0,4492.0,13519.0,3256.0,816.0,867.0,613.0,3339.0,2575.0,1383.0,2311.0,1667.0,853.0,666.0,2417.0
Красноярский край,61807.0,2082.0,495.0,4324.0,448.0,333.0,7040.0,16128.0,4080.0,1194.0,1575.0,733.0,5391.0,4846.0,2338.0,1814.0,2645.0,1932.0,1439.0,2965.0
Иркутская область,53229.0,3352.0,484.0,3205.0,403.0,341.0,5526.0,12892.0,3694.0,1237.0,1232.0,959.0,4129.0,3852.0,1890.0,1885.0,2769.0,1241.0,1382.0,2733.0
Кемеровская область,37392.0,827.0,428.0,2921.0,356.0,332.0,3432.0,8975.0,2255.0,869.0,880.0,666.0,3464.0,2967.0,1603.0,1025.0,2276.0,1178.0,1014.0,1918.0
Новосибирская область,96079.0,1593.0,155.0,7857.0,568.0,453.0,10475.0,29902.0,6641.0,1883.0,2611.0,1475.0,9687.0,7877.0,3738.0,1253.0,2529.0,1921.0,1712.0,3740.0
Омская область,37195.0,828.0,35.0,2737.0,244.0,255.0,4653.0,9392.0,2494.0,621.0,911.0,446.0,3440.0,3026.0,1374.0,1164.0,1777.0,955.0,589.0,2252.0
Томская область,26208.0,642.0,136.0,2129.0,203.0,166.0,2673.0,6461.0,1953.0,566.0,909.0,351.0,2572.0,2445.0,850.0,590.0,906.0,726.0,522.0,1402.0
Дальневосточный федеральный округ,190399.0,9981.0,3684.0,9532.0,1672.0,1269.0,20464.0,43250.0,15887.0,4756.0,3961.0,2762.0,14621.0,14641.0,6498.0,7869.0,9130.0,4587.0,5080.0,10709.0
Республика Бурятия,20303.0,867.0,410.0,1064.0,245.0,98.0,2031.0,3580.0,898.0,564.0,429.0,316.0,1395.0,3189.0,634.0,1117.0,1260.0,477.0,402.0,1325.0
Республика Саха (Якутия),22921.0,1493.0,713.0,993.0,261.0,170.0,3191.0,2785.0,1515.0,406.0,625.0,504.0,1880.0,1599.0,593.0,1389.0,1603.0,628.0,926.0,1641.0
Забайкальский край,13153.0,744.0,475.0,579.0,169.0,80.0,1232.0,2369.0,806.0,278.0,254.0,239.0,882.0,713.0,389.0,1109.0,1326.0,346.0,388.0,773.0
Камчатский край,9518.0,904.0,58.0,472.0,73.0,79.0,995.0,1676.0,729.0,286.0,213.0,151.0,984.0,580.0,466.0,431.0,357.0,221.0,293.0,546.0
Приморский край,54006.0,2015.0,250.0,2774.0,162.0,315.0,5063.0,16007.0,6573.0,1417.0,1001.0,628.0,4513.0,3944.0,1798.0,990.0,1732.0,1181.0,1270.0,2361.0
Хабаровский край,34419.0,1473.0,367.0,1870.0,292.0,223.0,4068.0,9186.0,3057.0,946.0,721.0,419.0,2646.0,2389.0,1320.0,938.0,1244.0,842.0,784.0,1626.0
Амурская область,14202.0,602.0,691.0,662.0,245.0,146.0,1537.0,3502.0,653.0,295.0,285.0,207.0,909.0,905.0,539.0,851.0,662.0,350.0,348.0,813.0
Магаданская область,4086.0,258.0,485.0,158.0,46.0,23.0,300.0,698.0,403.0,86.0,99.0,71.0,195.0,257.0,91.0,209.0,177.0,105.0,110.0,314.0
Сахалинская область,14213.0,1331.0,152.0,778.0,100.0,92.0,1797.0,2891.0,1051.0,401.0,249.0,169.0,1004.0,881.0,579.0,510.0,516.0,313.0,419.0,969.0
Еврейская автономная область,2465.0,178.0,35.0,146.0,49.0,30.0,180.0,437.0,111.0,56.0,59.0,36.0,184.0,126.0,68.0,175.0,173.0,93.0,103.0,226.0
Чукотский автономный округ,1113.0,116.0,48.0,36.0,30.0,13.0,70.0,119.0,91.0,21.0,26.0,22.0,29.0,58.0,21.0,150.0,80.0,31.0,37.0,115.0
